country_code,year,P,G,g,E,F,e,f,ef
USA,1965,0.194303,3.92642635842247,20.20774953769355,51.05152394390891,3631.209321351791,13.00203270956545,71.12832371745564,924.8127915509181
USA,1966,0.19656,4.18164407171994,21.274135489010682,53.95920939956542,3836.6584204607184,12.903826455361518,71.102939853148,917.4999963310298
USA,1967,0.198712,4.28618517351294,21.569835608885924,55.82562138111423,3938.290127327348,13.024547265502246,70.54628376531907,918.8334073069319
USA,1968,0.20070600000000002,4.491922061841549,22.380606767319108,59.21972538248017,4169.4604862941305,13.18360482821955,70.40661636583074,928.2130074591678
USA,1969,0.20267700000000002,4.63117164575864,22.85001083378301,62.4207041317157,4354.298468385248,13.478382773586546,69.75727891817944,940.2153065030617
USA,1970,0.205052,4.7796843942,23.309620945906403,64.5519202037199,4488.413741385089,13.505477533632067,69.53183928874726,939.0606933862917
USA,1971,0.207661,4.9371977811,23.775276922965794,65.8329241833422,4531.59705822947,13.334066630945202,68.83481349862485,917.8479897193502
USA,1972,0.209896,5.1970554741,24.76014537723444,69.10890622220111,4759.315780638326,13.297704164716281,68.86689488813533,915.7715949650357
USA,1973,0.21190900000000001,5.4903318029,25.908912801721492,71.85219793833248,4962.381820314192,13.087041096565432,69.06374422356824,903.840058936521
USA,1974,0.21385400000000002,5.4619383015,25.54050100302075,69.99155167399961,4788.194887302058,12.814416386720806,68.41104065822235,876.6475604433477
USA,1975,0.21597300000000003,5.4511412217999995,25.23991990572895,68.11195573756218,4647.535907811798,12.494990125218441,68.23377566368703,852.5803531241398
USA,1976,0.218035,5.7447445967999995,26.347809281996007,71.75703176396075,4930.106607498237,12.490900257590502,68.7055538154845,858.1942198517335
USA,1977,0.22023900000000002,6.0094967473,27.286251514491074,73.53746212065583,5087.773410430812,12.236875268082207,69.18614354793887,846.6222088757586
USA,1978,0.222585,6.3437260222,28.50024045735337,73.48452844235815,5031.4970848767825,11.583811814255144,68.47015543991044,793.1453955087208
USA,1979,0.225055,6.5451831427,29.082593777965386,74.50543690841798,5140.768883651375,11.383247081713165,68.99857375469665,785.4278133355211
USA,1980,0.227225,6.5291738718,28.73439925976455,71.89029054524241,4970.228320041506,11.010625839777687,69.13629479510328,761.2338739374518
USA,1981,0.229466,6.6985713545,29.19199948794157,69.81991760487058,4807.578466051107,10.423105750447311,68.85683385160189,717.7020608762267
USA,1982,0.231664,6.5705689527999995,28.362494616340904,66.77374919899913,4559.706185701402,10.162552083186645,68.28590936406111,693.9591104600337
USA,1983,0.23379200000000003,6.8749477461,29.40625746860457,66.32983020025586,4539.961698203275,9.648048632498078,68.44524830678313,660.3630843272504
USA,1984,0.235825,7.3740061813999995,31.26897564465175,69.8761586523964,4751.861804972282,9.476010316976707,68.00405025998545,644.4070818598245
USA,1985,0.23792400000000002,7.6865709482,32.30683305677443,69.65741310176035,4765.732402841163,9.062222097627597,68.41672968645923,620.0075996120449
USA,1986,0.240133,7.9564936881,33.13369544419134,69.89794737137272,4769.837379854141,8.785018892921947,68.24002076214997,599.4898716488734
USA,1987,0.242289,8.2319274247,33.97565479530643,72.31037363294934,4922.884427072698,8.784136436380763,68.07991965387258,598.023302817457
USA,1988,0.24449900000000002,8.577995347,35.08396904281817,75.65052632925615,5152.069677235281,8.819138186605985,68.10355363308072,600.6146504890709
USA,1989,0.246819,8.8937105273,36.03333020269914,77.78720216018351,5249.126555423563,8.746315941069714,67.4805933322333,590.2065891745548
USA,1990,0.249623,9.0644137655,36.31241418258734,78.00761723639452,5161.028128511817,8.605919726800067,66.16056625434182,569.3725222645031
USA,1991,0.252981,9.0576984370999991,35.80386842134389,77.90333163316245,5117.453682763827,8.600786631852666,65.68979240658551,564.9838883797373
USA,1992,0.256514,9.3797354984,36.56617376985272,79.15369925107379,5201.310356135368,8.438798648914553,65.71152587116525,554.526335739703
USA,1993,0.259919,9.6372895958,37.078049683939994,80.81979810035912,5318.278525174419,8.38615435356233,65.80415504837529,551.8438013414232
USA,1994,0.263126,10.0264089855,38.104972467563066,82.31558456802969,5398.9388191143635,8.209877004526039,65.58829470077336,538.4718324299562
USA,1995,0.266278,10.299024618299999,38.67771508836629,84.08815923431844,5436.072868593505,8.164672126805575,64.64730490110325,527.8240483991391
USA,1996,0.269394,10.6899633606,39.68151985790329,86.88438091250161,5624.497993451548,8.127659373719782,64.73543270240707,526.1475464155249
USA,1997,0.27265700000000004,11.1696248487,40.9658466450522,87.56573280819607,5714.710632096113,7.839630604817278,65.26195177985447,511.62959450345653
USA,1998,0.27585400000000004,11.6666632094,42.29289120114262,88.11895558676808,5747.886567450547,7.553055574259602,65.22871871524596,492.6761374940001
USA,1999,0.27904,12.2132696684,43.76888499283257,89.59683951446604,5793.5404830004,7.336024008892917,64.66233088573388,474.3644118487218
USA,2000,0.282162411,12.7130582134,45.05581791828395,91.66421199600227,5976.012550989656,7.210240876533157,65.19460998857751,470.06884186927846
USA,2001,0.284968955,12.837135352099999,45.04748719768438,89.53897392038809,5863.577439549878,6.974996482041502,65.48631487293308,456.7668158605704
USA,2002,0.287625193,13.0664229809,45.42864567812737,90.90964619031872,5897.1421715487295,6.957500635270034,64.86816766620235,451.32031774640603
USA,2003,0.29010793300000004,13.433168199499999,46.30403608956118,91.23141637341533,5968.584573058721,6.7915040605842405,65.422469696502,444.3169685972428
USA,2004,0.292805298,13.9417134041,47.61427986217654,93.0892529091607,6071.054380642342,6.677031022728159,65.21756476622129,435.4597031708426
USA,2005,0.295516599,14.4080938404,48.75561606067347,93.20262876828522,6108.159417878892,6.468768860107432,65.536342682615,423.9394527506295
