country_code,year,P,G,g,E,F,e,f,ef
WLD,1965,3.3249516210000003,14.6009081974368,4.391314479651131,148.04556132938123,11357.797828398378,10.139476211169573,76.71825974659804,777.882969662959
WLD,1966,3.39486453,15.446145776432699,4.549856302051823,156.09017103581363,11884.428601765349,10.105444639398113,76.13822525082993,769.4106202142854
WLD,1967,3.4644395250000004,16.1280840247436,4.6553227176749745,161.94543395024206,12247.58538920986,10.041207232166354,75.62785248377516,759.3949393132933
WLD,1968,3.534821115,17.1252085512646,4.844717170720137,171.73529487303188,12914.28966338836,10.02821626136344,75.19880914948912,754.1099207480726
WLD,1969,3.6093837250000003,18.1729876402503,5.034928127585077,183.53966653551308,13723.619059930823,10.099586824623248,74.77195158396694,755.1658170688
WLD,1970,3.68476587,19.0140656133865,5.1601828404328165,194.90731161070204,14481.992342807125,10.250691018625767,74.30194497645486,761.6462800365717
WLD,1971,3.7621983470000004,19.834969916866697,5.272175490875759,202.92121721294473,14978.38555601058,10.230477689829534,73.81379710674769,755.1504045021861
WLD,1972,3.838924951,20.976632889704398,5.464194574640018,213.70977411367082,15685.4827668156,10.187992288245763,73.39618803991901,747.7597977373308
WLD,1973,3.9148576110000004,22.3477395189659,5.708442487454213,225.86999916788741,16537.970669980026,10.107062460442494,73.21897875285102,740.0287915448771
WLD,1974,3.991430917,22.7923521229645,5.710321084573715,226.87057739122667,16445.592573659127,9.953802756611617,72.48887344831651,721.5399483535235
WLD,1975,4.0662679840000004,22.9686578272039,5.648584381939716,227.83807671600832,16459.585570757637,9.919520697729176,72.24247065284833,716.6106828960216
WLD,1976,4.139151082000001,24.1995566443467,5.846502378128631,240.1458242752466,17347.43247555596,9.923562972850888,72.23707731712607,716.8491857311991
WLD,1977,4.211781677,25.1722300976294,5.976622728355489,248.52757015480327,17894.51070760503,9.873085109698263,72.0021150830826,710.8830102935635
WLD,1978,4.285609387,26.1819341304384,6.109267496440268,256.2739095409929,18182.15269781278,9.788196252585323,70.9481223835016,694.4541456421551
WLD,1979,4.361295248,27.272085214978603,6.2532077431549755,265.29694946084254,18774.5571997397,9.727783826193603,70.76808549022083,688.4166374424562
WLD,1980,4.437690434,27.8148632232598,6.267869207403979,263.58329253700043,18613.407543971378,9.47634688768063,70.61679579466717,669.1892530467729
WLD,1981,4.515764583,28.3513293260772,6.278301006391767,262.13646598971013,18378.566196017295,9.246002646817702,70.11068119282085,648.2435438790137
WLD,1982,4.596813158000001,28.4484166301589,6.1887258960371465,260.8582549124447,18193.178233681876,9.169517527239183,69.74354037516771,639.5146158818139
WLD,1983,4.678525765000001,29.129509813212398,6.226215538050456,264.86147022756774,18356.355163945766,9.092548138500888,69.30549448424519,630.1635448606072
WLD,1984,4.75998236,30.4516647101448,6.397432260682748,277.4644778825612,19043.28684693197,9.111635784894396,68.6332426848246,625.3611100803894
WLD,1985,4.843067309,31.6294797963193,6.530877598488337,284.99275694764697,19475.045487671003,9.010352328994403,68.33522962567277,615.7244954100479
WLD,1986,4.9288221430000005,32.6802488254225,6.630437836316647,291.2010153665044,19808.763979807194,8.910611939404033,68.02436438923802,606.1387134971147
WLD,1987,5.016798785000001,33.8502319153057,6.74737683650306,301.4636590561287,20420.662190723968,8.905807789157837,67.73838762078417,603.2650600981724
WLD,1988,5.105701987000001,35.4256880163551,6.9384558884468825,312.85768914596565,21103.301871451447,8.831379336980767,67.45335851920063,595.7061966364241
WLD,1989,5.19473138,36.754872055697795,7.07541340774733,319.60507262338024,21512.315861397423,8.69558387086902,67.30905640771023,585.2915452622981
WLD,1990,5.284886348000001,37.8582516319949,7.163493997618677,323.08922989733253,21598.22267156971,8.534182535367858,66.8490951506893,570.5023803401567
WLD,1991,5.372078249,38.396071412558996,7.147340309070579,325.5137584119747,21609.07966225207,8.477788128748562,66.38453553444988,562.7940272864463
WLD,1992,5.456141249000001,39.0787876957903,7.162348977485259,327.89306043583434,21685.57694263843,8.390563775630024,66.1361265585006,554.919387762238
WLD,1993,5.541075501,39.7166011254814,7.1676700882912945,329.81719096005446,21718.889864846216,8.304265259708998,65.85129720384005,546.8466396766212
WLD,1994,5.624840414,40.912084677608604,7.273465852609806,334.19557718914336,21961.35880394166,8.168627431787908,65.71409169640887,536.7939320863114
WLD,1995,5.709757338,42.159323288892395,7.383732931750101,340.8938882180629,22220.211344026553,8.085848197375533,65.18219338040093,527.0533208458984
WLD,1996,5.7925683470000005,43.5862453619379,7.524511192778835,350.85953398292213,22849.54664373369,8.049776507919022,65.12448552943094,524.2375537051255
WLD,1997,5.875398158,45.1857804805384,7.690675468353237,354.6381538062222,23055.931689012777,7.848445905653119,65.01255277121358,510.2475036132885
WLD,1998,5.95723746,46.32626708116079,7.776468101568809,357.2290372351713,23130.264660513498,7.711155241783842,64.74911681181831,499.290491504327
WLD,1999,6.038067278000001,47.8368427811995,7.922542194171208,363.66819455746855,23460.83097471663,7.602261633796511,64.51163815209372,490.4343516570254
WLD,2000,6.118075293,49.9413255965394,8.162914512294382,372.63696056881605,24003.3723825112,7.4614951869566974,64.41489954692355,480.63146293766914
